Date/Time,TEMP (°C),TOTPP (mm),RAIN (mm),ETA (mm),UCD1,UCD2,UCD3,UCD4,UCD5
2016-01-01,-3.1,0.4,0.0,0.11,25.00,30.67,0.54,2.00,25.0
2016-01-02,-3.0,0.0,0.0,0.15,25.00,30.63,0.39,0.00,25.0
2016-01-03,-1.8,2.4,0.0,0.10,25.00,30.58,0.31,0.00,25.0
2016-01-04,-5.4,3.6,0.0,0.12,26.00,30.49,0.31,0.00,26.0
2016-01-05,-10.0,0.6,0.0,0.11,33.00,30.44,0.23,0.00,33.0
2016-01-06,-6.3,0.0,0.0,0.14,35.00,30.30,0.18,0.00,35.0
2016-01-07,-3.9,2.3,0.0,0.15,35.00,29.80,0.19,0.00,35.0
2016-01-08,-4.6,0.0,0.0,0.12,33.00,29.70,0.19,0.00,33.0
2016-01-09,-3.8,0.0,0.0,0.11,30.00,29.64,0.19,0.00,30.0
